# Melissa Graham, gal_sds.ipynb 
# UTC = Tue, 12 Apr 2022 18:50:30 +0000 
# 
# Columns 
#  0 candidate id 
#  1 object id 
#  2 object ra 
#  3 object dec 
#  4 object MJD 
#  5 object filter 
#  6 object magnitude 
#  7 object magnitude error 
#  8 object real/bogus score 
# 
DC22gfeir 15993299  115.17387063508  -26.22081430657 59512.35111709 z 19.340  0.030  0.172 
DC22gfeir 15993456  115.17387706211  -26.22080755369 59512.35178398 g 21.549  0.065  0.906 
DC22gfeir 15994181  115.17386580416  -26.22082661541 59512.35322428 r 20.244  0.030  0.827 
DC22gfeir 15994691  115.17385332074  -26.22080450981 59512.35479948 z 19.331  0.030  0.664 
DC22gfeir 15994782  115.17385376792  -26.22080805616 59512.35549119 g 21.565  0.070  0.976 
DC22gfeir 15995299  115.17386141333  -26.22082968404 59512.35694648 r 20.275  0.031  0.861 
DC22gfeir 15995915  115.17384241353  -26.22080070576 59512.35852995 z 19.294  0.029  0.194 
DC22gfeir 15996251  115.17388076797  -26.22081408858 59512.35922100 g 21.661  0.075  0.930 
DC22gfeir 15997146  115.17385391808  -26.22082150828 59512.36065467 r 20.266  0.031  0.878 
DC22gfeir 15997429  115.17386911289  -26.22080723240 59512.36224852 z 19.304  0.031  0.460 
DC22gfeir 15997911  115.17387846944  -26.22081068436 59516.33768436 r 20.238  0.073  0.735 
DC22gfeir 15998054  115.17383599027  -26.22080827731 59516.33860546 i 19.696  0.073  0.874 
DC22gfeir 15998902  115.17387058578  -26.22080556917 59516.34142851 r 20.143  0.053  0.633 
DC22gfeir 15999307  115.17385739552  -26.22078918844 59516.34304511 z 19.248  0.114  0.824 
DC22gfeir 15999736  115.17383942561  -26.22081791530 59516.34521271 r 20.216  0.046  0.628 
DC22gfeir 16000101  115.17388878476  -26.22083454363 59516.34613912 i 19.639  0.076  0.693 
DC22gfeir 16000443  115.17385618214  -26.22081630859 59516.34682698 z 19.238  0.086  0.861 
DC22gfeir 16000376  115.17384629581  -26.22077767654 59516.34752037 g 21.562  0.121  0.944 
DC22gfeir 16001091  115.17385337725  -26.22082896187 59516.34900166 r 20.234  0.062  0.707 
DC22gfeir 16001223  115.17392903175  -26.22077796715 59516.34993967 i 19.384  0.138  0.611 
DC22gfeir 16014671  115.17385232416  -26.22083216908 59525.31657347 z 19.294  0.033  0.928 
DC22gfeir 16014745  115.17387781520  -26.22081582915 59525.31726477 g 21.560  0.055  0.956 
DC22gfeir 16015471  115.17386245195  -26.22083516936 59525.32030866 z 19.330  0.045  0.970 
DC22gfeir 16015600  115.17386071184  -26.22083733752 59525.32100980 g 21.600  0.067  0.978 
DC22gfeir 16016254  115.17384683019  -26.22082514715 59525.32400753 z 19.307  0.042  0.933 
DC22gfeir 16026331  115.17386395913  -26.22081757908 59532.31162089 z 19.347  0.028  0.585 
DC22gfeir 16027663  115.17382860588  -26.22081921083 59532.31535396 z 19.378  0.030  0.904 
DC22gfeir 16029159  115.17387072488  -26.22079452235 59532.31908136 z 19.381  0.029  0.142 
DC22gfeir 16029931  115.17385087506  -26.22081768300 59534.30768689 g 21.649  0.062  0.991 
DC22gfeir 16031155  115.17384002590  -26.22080782496 59534.31145539 g 21.687  0.068  0.897 
DC22gfeir 16032428  115.17387725564  -26.22076420525 59534.31518950 g 21.605  0.063  0.703 
DC22gfeir 16033372  115.17387531622  -26.22081604646 59537.27520329 g 21.685  0.096  0.910 
DC22gfeir 16034117  115.17385450470  -26.22081612809 59537.27668481 r 20.249  0.031  0.708 
DC22gfeir 16035126  115.17385361977  -26.22081027330 59537.27758161 i 19.736  0.029  0.432 
DC22gfeir 16035756  115.17387410060  -26.22080115513 59537.27825482 z 19.320  0.026  0.380 
DC22gfeir 16034660  115.17387458060  -26.22079740575 59537.27892417 g 21.588  0.081  0.867 
DC22gfeir 16035712  115.17386736188  -26.22082177636 59537.28036232 r 20.231  0.029  0.833 
DC22gfeir 16036686  115.17387403806  -26.22080546897 59537.28126498 i 19.676  0.028  0.515 
DC22gfeir 16037962  115.17386300949  -26.22080232234 59537.28193947 z 19.330  0.027  0.388 
DC22gfeir 16036217  115.17385278174  -26.22080657589 59537.28261389 g 21.570  0.079  0.932 
DC22gfeir 16037275  115.17386279518  -26.22081910786 59537.28405655 r 20.246  0.030  0.760 
DC22gfeir 16037792  115.17385560592  -26.22081406221 59537.28496144 i 19.711  0.029  0.312 
DC22gfeir 16039883  115.17386122118  -26.22080828506 59537.28564196 z 19.309  0.026  0.510 
DC22gfeir 16042504  115.17385458598  -26.22082570488 59540.29539384 z 19.374  0.032  0.552 
DC22gfeir 16045772  115.17386074294  -26.22083278940 59540.29897110 z 19.355  0.032  0.958 
DC22gfeir 16047733  115.17390274540  -26.22085684867 59540.30102906 r 20.283  0.036  0.802 
DC22gfeir 16048551  115.17383951770  -26.22080857881 59540.30254725 z 19.345  0.030  0.505 
DC22gfeir 16050169  115.17382500343  -26.22081062716 59546.31836649 z 19.321  0.028  0.573 
DC22gfeir 16056350  115.17385618333  -26.22080849526 59546.32206333 z 19.404  0.030  0.482 
DC22gfeir 16063544  115.17386503902  -26.22080631183 59546.32580596 z 19.272  0.026  0.419 
DC22gfeir 16063857  115.17389252492  -26.22080283188 59546.32647872 g 21.626  0.049  0.753 
DC22gfeir 16066387  115.17385658682  -26.22078901866 59546.32949570 z 19.313  0.029  0.699 
DC22gfeir 16066927  115.17388329383  -26.22079454828 59546.33017158 g 21.669  0.053  0.827 
DC22gfeir 16068751  115.17384776406  -26.22081410947 59546.33323255 z 19.294  0.027  0.865 
DC22gfeir 16069405  115.17385808765  -26.22080897688 59546.33392157 g 21.663  0.050  0.982 
DC22gfeir 16070347  115.17386023223  -26.22080212389 59546.33694772 z 19.315  0.026  0.605 
DC22gfeir 16071876  115.17386328382  -26.22080736896 59549.31375678 z 19.345  0.028  0.239 
DC22gfeir 16075092  115.17385570999  -26.22080540819 59549.32115821 z 19.343  0.031  0.951 
DC22gfeir 16076005  115.17386819141  -26.22081217292 59549.32527606 z 19.374  0.031  0.951 
DC22gfeir 16104419  115.17386986097  -26.22081622096 59564.22088104 g 21.430  0.056  0.932 
DC22gfeir 16105654  115.17387448618  -26.22081056488 59564.22233431 r 20.255  0.028  0.819 
DC22gfeir 16106468  115.17386743037  -26.22080633694 59564.22461471 g 21.577  0.064  0.907 
DC22gfeir 16107211  115.17385207477  -26.22080905910 59564.22605563 r 20.285  0.029  0.897 
DC22gfeir 16107767  115.17385737484  -26.22080454405 59564.22833010 g 21.669  0.070  0.980 
DC22gfeir 16108860  115.17386239803  -26.22082360404 59564.22985003 r 20.056  0.023  0.880 
DC22gfeir 16109032  115.17392581820  -26.22080146058 59564.23211269 g 21.556  0.070  0.934 
DC22gfeir 16109899  115.17386090748  -26.22079934915 59564.23354996 r 20.276  0.032  0.881 
DC22gfeir 16110224  115.17384854839  -26.22081933460 59564.23514027 z 19.344  0.028  0.155 
DC22gfeir 16110453  115.17388907035  -26.22080317533 59564.23581748 g 21.649  0.073  0.980 
