# Accumulated photometry of sn2015V 
# Photometry is in the natural system NOT Landolt 
# MJD          Mag       Err       LimMag    Passband  Telescope Filename  
57585.28       20.79     0.52      nan       clear     kait4     unk       
57586.27       19.37     0.54      nan       clear     kait4     unk       
57591.26       20.25     0.42      nan       clear     kait4     unk       
57593.23       20.49     0.54      nan       clear     kait4     unk       
57594.27       20.40     0.37      nan       clear     kait4     unk       
57595.23       19.78     0.38      nan       clear     kait4     unk       
57600.21       20.13     0.45      nan       clear     kait4     unk       
57601.23       20.53     0.51      nan       clear     kait4     unk       
57604.21       19.42     0.27      nan       clear     kait4     unk       
57606.19       21.04     0.53      nan       clear     kait4     unk       
57121.51       16.31     0.11      nan       B         kait4     unk       
57121.51       16.05     0.06      nan       V         kait4     unk       
57121.51       15.84     0.05      nan       R         kait4     unk       
57121.51       15.75     0.07      nan       I         kait4     unk       
57121.51       15.71     0.02      nan       clear     kait4     unk       
57122.51       16.30     0.08      nan       B         kait4     unk       
57122.51       16.14     0.04      nan       V         kait4     unk       
57122.51       15.89     0.03      nan       R         kait4     unk       
57122.51       15.80     0.05      nan       I         kait4     unk       
57122.51       15.71     0.02      nan       clear     kait4     unk       
57125.51       16.13     0.04      nan       B         kait4     unk       
57125.51       16.13     0.04      nan       V         kait4     unk       
57125.51       15.86     0.03      nan       R         kait4     unk       
57125.51       15.84     0.06      nan       I         kait4     unk       
57125.51       15.61     0.01      nan       clear     kait4     unk       
57130.49       16.32     0.07      nan       B         kait4     unk       
57130.49       16.13     0.05      nan       V         kait4     unk       
57130.49       16.03     0.05      nan       R         kait4     unk       
57130.49       15.82     0.08      nan       I         kait4     unk       
57130.49       15.75     0.02      nan       clear     kait4     unk       
57131.51       16.45     0.07      nan       B         kait4     unk       
57131.51       16.14     0.04      nan       V         kait4     unk       
57131.51       15.85     0.03      nan       R         kait4     unk       
57131.51       15.75     0.05      nan       I         kait4     unk       
57131.51       15.71     0.04      nan       clear     kait4     unk       
57132.46       15.96     0.03      nan       V         kait4     unk       
57132.46       15.69     0.03      nan       R         kait4     unk       
57132.46       15.61     0.04      nan       I         kait4     unk       
57132.46       15.64     0.01      nan       clear     kait4     unk       
57134.49       16.45     0.06      nan       B         kait4     unk       
57134.49       16.06     0.03      nan       V         kait4     unk       
57134.49       15.77     0.03      nan       R         kait4     unk       
57134.49       15.49     0.03      nan       I         kait4     unk       
57134.49       15.67     0.01      nan       clear     kait4     unk       
57135.52       16.53     0.13      nan       B         kait4     unk       
57135.52       16.01     0.07      nan       V         kait4     unk       
57135.52       15.82     0.03      nan       R         kait4     unk       
57135.52       15.66     0.05      nan       I         kait4     unk       
57135.52       15.83     0.03      nan       clear     kait4     unk       
57138.52       16.25     0.07      nan       V         kait4     unk       
57138.52       15.92     0.04      nan       R         kait4     unk       
57138.52       15.81     0.08      nan       I         kait4     unk       
57138.52       15.88     0.02      nan       clear     kait4     unk       
57141.52       16.54     0.11      nan       B         kait4     unk       
57141.52       16.09     0.06      nan       V         kait4     unk       
57141.52       15.81     0.04      nan       R         kait4     unk       
57141.52       15.40     0.04      nan       I         kait4     unk       
57141.52       15.65     0.02      nan       clear     kait4     unk       
57149.49       16.26     0.08      nan       V         kait4     unk       
57149.49       15.79     0.05      nan       R         kait4     unk       
57149.49       15.50     0.05      nan       I         kait4     unk       
57149.49       15.51     0.03      nan       clear     kait4     unk       
57243.21       18.30     0.24      nan       V         kait4     unk       
57243.21       17.59     0.10      nan       R         kait4     unk       
57243.21       17.10     0.11      nan       I         kait4     unk       
