# Melissa Graham & Midori Rollins, fit_potential_snia_sncosmos.ipynb 
# UTC = Sun, 26 Nov 2023 23:40:44 +0000 
# 
# Columns 
#  0 id -- candidate identifier 
#  1 estimated redshift 
#  2 redshift lower boundry intput to fit 
#  3 redshift upper boundry intput to fit 
#  4 fit redshift 
#  5 error in fit redshift 
#  6 fit t0 
#  7 error in fit t0 
#  8 fit x0 
#  9 error in fit x0 
# 10 fit x1 
# 11 error in fit x1 
# 12 fit c 
# 13 error in fit c 
# 14 fit peak magnitude in bessel B 
# 15 fit peak magnitude in sdss g 
# 16 fit peak magnitude in sdss r 
# 17 fit peak magnitude in sdss i 
# 
DC22gwmgv      0.372 0.222 0.522   0.296 0.024 60057.73  0.55   2.6275E-05   9.6270E-07     1.7751     0.5665     0.0104     0.0518    21.9485    21.9997    22.1103    22.7050 
DC22hvtap      0.261 0.111 0.411   0.335 0.007 59721.21  2.09   6.0402E-05   6.1698E-06     3.5931     0.5029    -0.0834     0.0437    21.0318    21.1099    21.3722    22.0214 
DC22hvtet      0.309 0.159 0.459   0.419 0.044 59704.06  2.92   1.6420E-04   3.7138E-05    -1.5343     0.6615    -0.7315     0.1634    19.9428    20.2123    21.1711    22.0363 
DC22hvtwp      0.275 0.125 0.425   0.194 0.015 59743.78  0.23   5.1062E-05   8.2887E-07     1.7215     0.3029     0.0390     0.0390    21.2270    21.2697    21.3454    21.9273 
DC22hvuhl      0.395 0.245 0.545   0.366 0.010 59712.76  1.56   2.4808E-05   4.1503E-06     7.0089     2.5026    -0.1716     0.0651    21.8834    22.0051    22.4799    23.0023 
DC22hvuzr      0.271 0.121 0.421   0.261 0.016 59742.93  0.83   4.8254E-05   1.0402E-06     2.8286     0.5563    -0.0505     0.0198    21.2835    21.3515    21.5566    22.1874 
DC22hxfpz      0.271 0.121 0.421   0.248 0.022 59749.52  0.29   4.9910E-05   1.5259E-06     0.8923     0.3449    -0.0396     0.0275    21.2545    21.3219    21.4741    22.0798 
DC22hxfsi      0.272 0.122 0.422   0.223 0.020 59754.20  0.24   5.4608E-05   1.4100E-06    -0.5467     0.2425     0.0704     0.0472    21.1587    21.1935    21.1889    21.7303 
DC22icaog      0.374 0.224 0.524   0.257 0.053 59755.50  0.86   2.5880E-05   1.9132E-06    -0.6825     0.6945    -0.2932     0.0775    21.9673    22.1106    22.5400    23.2317 
DC22ikidc      0.161 0.050 0.350   0.194 0.006 59789.79  1.03   1.7168E-04   6.0798E-06     0.1081     0.2698    -0.0532     0.0313    19.9147    19.9867    20.1404    20.7417 
DC22isyfm      0.391 0.241 0.541   0.290 0.028 59836.21  0.66   2.2164E-05   1.5743E-06     1.1164     0.6761     0.0967     0.0712    22.1342    22.1603    22.1558    22.7065 
DC22iykha      0.133 0.050 0.350   0.154 0.120 59871.43  8.68   2.2904E-04   1.0000E+00     1.8150     1.0039    -0.1124     1.0000    19.5975    19.6853    19.9422    20.5899 
DC22jcvsy      0.243 0.093 0.393   0.189 0.017 59894.49  0.38   6.1080E-05   2.1812E-06     2.1200     0.3476    -0.1592     0.0370    21.0310    21.1323    21.4510    22.1221 
DC23jjloo      0.342 0.192 0.492   0.267 0.020 59952.02  0.56   3.2406E-05   1.3095E-06     1.2217     0.6813     0.0582     0.0345    21.7220    21.7596    21.8026    22.3709 
DC23jmqzz      0.360 0.210 0.510   0.270 0.073 59973.37  1.80   2.7361E-05   8.9242E-07     0.6752     1.4253     0.1960     0.1822    21.9047    21.9011    21.7714    22.2753 
DC23jpbgx      0.335 0.185 0.485   0.316 0.022 59985.30  0.37   3.5919E-05   1.2090E-06     2.0510     0.4458    -0.0597     0.0677    21.6082    21.6800    21.8791    22.5067 
DC23jsner      0.313 0.163 0.463   0.364 0.016 60001.55  0.50   2.0337E-05   6.2574E-07     2.4414     0.4884    -0.0406     0.0303    22.2240    22.2895    22.4743    23.0976 
DC23jurva      0.000 0.000 0.000   -99.900 -99.900   -99.90 -99.90  -9.9900E+01  -9.9900E+01   -99.9000   -99.9000   -99.9000   -99.9000     0.0000     0.0000     0.0000     0.0000 
DC23jxtzq      0.259 0.109 0.409   0.198 0.006 60014.98  0.37   4.6265E-05   1.0776E-06     3.3050     0.3205    -0.0045     0.0240    21.3249    21.3789    21.5412    22.1554 
DC23jxvff      0.352 0.202 0.502   0.213 0.009 60015.13  0.83   2.4807E-05   1.1294E-06     6.6889     0.8016     0.0864     0.0324    21.8995    21.9391    22.1040    22.5321 
DC23jzmev      0.342 0.192 0.492   0.399 0.053 60021.70  0.83   2.6631E-05   3.8164E-06     1.9550     0.8000    -0.2361     0.0821    21.9319    22.0561    22.4636    23.1661 
DC23kdata      0.078 0.050 0.350   0.050 0.000 60033.34  0.02   7.5449E-04   4.7795E-06     0.7459     0.0311    -0.0489     0.0041    18.3062    18.3765    18.5369    19.1447 
DC23kjsjk      0.286 0.136 0.436   0.236 0.028 60046.73  0.36   3.3482E-05   2.0840E-06     0.7256     0.3584     0.2989     0.0715    21.6823    21.6473    21.3989    21.8605 
DC23kosqy      0.349 0.199 0.499   0.247 0.038 60059.58  0.56   2.6466E-05   8.8011E-07     2.1937     0.5566     0.1052     0.0553    21.9378    21.9599    21.9680    22.5266 
DC23kpigs      0.277 0.127 0.427   0.172 0.012 60059.10  0.47   4.3909E-05   1.3514E-06     1.6793     0.4620     0.1713     0.0426    21.3889    21.3917    21.3115    21.8369 
DC23kpkys      0.426 0.276 0.576   0.352 0.011 60072.69  0.68   1.6849E-05   8.9404E-07     5.3732     0.8435     0.1183     0.0535    22.3688    22.3948    22.4774    22.9784 
DC23krtnc      0.361 0.211 0.511   0.285 0.028 60068.08  0.72   2.9495E-05   1.7729E-06     2.8439     0.9291     0.0098     0.0485    21.8176    21.8675    22.0020    22.6070 
DC23kvgpp      0.345 0.195 0.495   0.273 0.054 60089.77  1.42   3.0304E-05   1.5542E-06     3.5026     1.8280     0.0606     0.0844    21.7814    21.8158    21.9069    22.4939 
DC23ldjbe      0.383 0.233 0.533   0.362 0.011 60124.19  1.87   2.7008E-05   3.0857E-06     5.7297     2.2591    -0.3913     0.0477    21.8347    22.0204    22.7155    23.4150 
