# fnm 	 exptime
c4d_211002_065225_ori	50.0
c4d_211005_050518_ori	60.0
c4d_211005_055217_ori	50.0
c4d_211005_065354_ori	50.0
c4d_211002_042534_ori	25.0
c4d_211002_070120_ori	15.0
c4d_211002_081439_ori	15.0
c4d_211005_043149_ori	15.0
c4d_211005_070828_ori	15.0
c4d_211005_083753_ori	15.0
c4d_211011_044635_ori	130.0
c4d_211011_051333_ori	60.0
c4d_211011_054100_ori	50.0
c4d_211011_063029_ori	50.0
c4d_211011_064919_ori	50.0
c4d_211011_080231_ori	50.0
c4d_211011_053515_ori	15.0
c4d_211011_070122_ori	15.0
c4d_210917_022659_ori	50.0
c4d_210917_044651_ori	50.0
c4d_210328_032713_ori	30.0
c4d_210418_024443_ori	130.0
c4d_210521_233905_ori	90.0
c4d_210607_233517_ori	90.0
c4d_210917_033056_ori	130.0
c4d_210918_080633_ori	50.0
c4d_210920_033202_ori	130.0
c4d_210920_040334_ori	50.0
c4d_210920_054505_ori	50.0
c4d_210920_073805_ori	50.0
c4d_210921_075828_ori	50.0
c4d_210923_022202_ori	60.0
c4d_210923_005750_ori	50.0
c4d_210923_041803_ori	50.0
c4d_210923_063331_ori	50.0
c4d_210926_044941_ori	86.0
c4d_210926_071200_ori	50.0
c4d_210917_074558_ori	15.0
c4d_210918_083520_ori	15.0
c4d_210920_083140_ori	15.0
c4d_210923_064814_ori	15.0
c4d_210925_041914_ori	25.0
c4d_210926_042632_ori	15.0
c4d_210929_042113_ori	15.0
c4d_210929_070335_ori	15.0
c4d_210929_045153_ori	130.0
c4d_210929_062848_ori	50.0
c4d_211002_050355_ori	86.0
c4d_211002_055322_ori	50.0
c4d_211002_065406_ori	50.0
c4d_211005_050647_ori	86.0
c4d_211005_055336_ori	50.0
c4d_211005_065514_ori	50.0
c4d_211002_042733_ori	15.0
