# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_210503_004244_ori    150.780000   1.750000 59337.029687 i      1.19 COSMOS-3     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    148.33   0.587          0 
c4d_210418_003746_ori    150.780000   1.750000 59322.026234 g      1.18 COSMOS-3      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     61.48   0.285          0 
c4d_210331_091448_ori    270.889996 -29.530000 59304.385285 i      1.02 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL      45.08   0.903       2889 
c4d_210412_013513_ori    149.220000   1.750000 59316.066124 r      1.18 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    127.91   0.001          0 
c4d_210331_085813_ori    270.889996 -29.530000 59304.373769 i      1.04 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL      45.20   0.904       2889 
c4d_210331_020800_ori    150.000000   3.100000 59304.088889 r      1.19 COSMOS-1      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     72.95   0.923          0 
c4d_210607_231045_ori    150.000000   3.100000 59372.965804 i      1.30 COSMOS-1      90.0 COSMOS-AGN-1              COSMOS-AGN           EGAL    101.10   0.055          0 
c4d_210409_014110_ori    150.780000   1.750000 59313.070257 r      1.18 COSMOS-3      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    161.02   0.088          0 
c4d_210412_020227_ori    150.780000   1.750000 59316.085041 i      1.19 COSMOS-3     130.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    129.18   0.001          0 
c4d_210331_022804_ori    150.000000   3.100000 59304.102829 i      1.20 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     73.13   0.922          0 
c4d_210515_082239_ori    270.889996 -29.530000 59349.349068 z      1.03 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL     175.29   0.111          0 
c4d_210530_101947_ori      7.874596 -43.009600 59364.430407 r      1.17 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     53.82   0.791       2665 
c4d_210522_093511_ori      7.874596 -43.009600 59356.399441 g      1.42 ELAIS-E1      10.0 ELAIS-DDF-SEQ-A           NONE                 None    140.06   0.774          0 
c4d_210429_084845_ori    270.889996 -29.530000 59333.367196 z      1.01 DECaPS-East   30.0 DECaPSEast-DDF-B-MOON     DECaPS               GAL      21.71   0.927       5524 
c4d_210527_084027_ori      7.874596 -43.009600 59361.361432 g      1.61 ELAIS-E1      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     88.19   0.988          0 
c4d_210602_073935_ori    270.889996 -29.530000 59367.319162 z      1.07 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL      71.38   0.500          0 
c4d_210518_075310_ori    270.889996 -29.530000 59352.328588 r      1.02 DECaPS-East   50.0 DECaPSEast-DDF-B          DECaPS               GAL     141.64   0.351          0 
c4d_210319_024549_ori    149.220000   1.750000 59292.115151 g      1.18 COSMOS-2      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     90.14   0.272          0 
c4d_210412_073404_ori    270.889996 -29.530000 59316.315325 z      1.10 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL     113.85   0.001          0 
c4d_210602_095425_ori      7.874596 -43.009600 59367.412797 r      1.20 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     36.71   0.491       2426 
c4d_210509_085241_ori    270.889996 -29.530000 59343.369928 z      1.04 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS               GAL     111.81   0.053          0 
c4d_210328_001642_ori    149.220000   1.750000 59301.011608 i      1.37 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     30.63   0.990      27563 
c4d_210512_001736_ori    149.220000   1.750000 59346.012223 i      1.21 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     97.43   0.001          0 
c4d_210530_064228_ori    270.889996 -29.530000 59364.279495 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS               GAL      30.83   0.805       7653 
c4d_210527_082507_ori    270.889996 -29.530000 59361.350775 g      1.11 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL      14.01   0.988      15376 
c4d_210527_062654_ori    270.889996 -29.530000 59361.268688 g      1.00 DECaPS-East   10.0 DECaPSEast-DDF-B          NONE                 None     14.82   0.990          0 
c4d_210521_233348_ori    150.000000   3.100000 59355.981813 r      1.22 COSMOS-1      70.0 COSMOS-AGN-1              COSMOS-AGN           EGAL     30.93   0.732       2700 
c4d_210406_003434_ori    149.220000   1.750000 59310.024016 r      1.23 COSMOS-2      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    152.16   0.331          0 
c4d_210530_064444_ori    270.889996 -29.530000 59364.281071 z      1.01 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL      30.84   0.805       5146 
c4d_210403_012739_ori    149.220000   1.750000 59307.060872 r      1.19 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    115.20   0.651          0 
c4d_210518_074018_ori    270.889996 -29.530000 59352.319662 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL     141.79   0.350          0 
