# Matched DECam DDF candidates to the Legacy Survey DR10. 
# Melissa Graham, October 2023 
# Legacy Surveys: https://datalab.noirlab.edu/ls/ls.php 
# For more info on DR10 columns, units, etc: 
#  - https://datalab.noirlab.edu/query.php?name=ls_dr10.tractor 
#  - https://www.legacysurvey.org/dr10/catalogs/ 
# 
# Columns 
#  0 : DECam DDF candidate identifier (string) 
#  1 : DECam DDF candidate Right Ascension (deg; float) 
#  2 : DECam DDF candidate Declination (deg; float) 
#  3 : Number of DR10 sources within 0.02 deg radius (72") to attempt match (int) 
#  4 : Flag: 1 if matched to a star; 0 if matched to a galaxy; -1 if unmatched (int) 
#  5 : Flag: 1 if matched to the core of the galaxy; 0 otherwise (int) 
#  6 : Flag: 1 if a star AND galaxy met constraints; 0 if one or the other; -1 if unmatched (int) 
#  7 : Separation between candidate and matched DR10 object (arcsec; float) 
#  8 : Matched LS DR10 object Right Ascension (deg; float) 
#  9 : Matched LS DR10 object Declination (deg; float) 
# 10 : Matched LS DR10 object MW E(B-V) value (mag; float) 
# 11 : Matched LS DR10 object ls_id identifier (unique; long integer) 
# 12 : Matched LS DR10 object g-band apparent magnitude (mag; float) 
# 13 : Matched LS DR10 object r-band apparent magnitude (mag; float) 
# 14 : Matched LS DR10 object i-band apparent magnitude (mag; float) 
# 15 : Matched LS DR10 object type (str) 
# 16 : Matched LS DR10 object sersic index (float) 
# 17 : Matched LS DR10 object shape e1 (float) 
# 18 : Matched LS DR10 object shape e2 (float) 
# 19 : Matched LS DR10 object shape r (half-light radius; float) 
# 20 : Matched LS DR10 object g-band psf size (arcsec; float) 
# 21 : Matched LS DR10 object r-band psf size (arcsec; float) 
# 22 : Matched LS DR10 object i-band psf size (arcsec; float) 
# 23 : Matched LS DR9 object photoz mean (float) 
# 24 : Matched LS DR9 object photoz std (float) 
# 25 : Matched LS DR9 object specz (float) 
# 
DC21bbb    149.301599469912   1.784412257382   163 -1  0 -1 -99.0 -99.000000 -99.000000 -99.000                  -99 -99.000 -99.000 -99.000   xxx -99.00 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000  -99.0000  -99.0000  -99.0000 
DC21bbc    150.087518978717   2.097034409498   355  1  0  0   0.4 150.087533   2.097151   0.018    10995475402462984  18.701  18.191  18.010   PSF   0.00   0.000000   0.000000   0.000000   1.270998   1.304750   1.179121  -99.0000  -99.0000  -99.0000 
DC21bbcr   149.301606364573   1.134234282162   394  1  0  1   0.8 149.301453   1.134411   0.023    10995470869465864  19.384  17.908  16.626   PSF   0.00   0.000000   0.000000   0.000000   1.276625   1.051058   1.309381  -99.0000  -99.0000  -99.0000 
DC21bbd    149.458825728534   1.812578572710   290 -1  0 -1 -99.0 -99.000000 -99.000000 -99.000                  -99 -99.000 -99.000 -99.000   xxx -99.00 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000  -99.0000  -99.0000  -99.0000 
DC21bbe    150.046448007916   1.329263884289   463  1  0  1   0.2 150.046507   1.329234   0.020    10995470872611769  18.486  17.991  17.874   PSF   0.00   0.000000   0.000000   0.000000   1.189656   1.091737   1.161652  -99.0000  -99.0000  -99.0000 
DC21bbf    149.173370796031   1.292565397481   375  1  0  0   0.4 149.173459   1.292649   0.021    10995470868423964  18.249  17.327  17.050   PSF   0.00   0.000000   0.000000   0.000000   1.298476   1.119678   1.301650  -99.0000  -99.0000  -99.0000 
DC21bbfh   148.908053988067   2.260494015990   310  1  0  0   0.1 148.908048   2.260460   0.029    10995476907172447  20.732  19.361  18.737   PSF   0.00   0.000000   0.000000   0.000000   1.436451   1.131772   1.252979  -99.0000  -99.0000  -99.0000 
DC21bbgb   150.586836138469   3.544693999488   345  1  0  0   1.0 150.586819   3.544406   0.021    10995484461113480  20.337  18.833  17.375   PSF   0.00   0.000000   0.000000   0.000000   1.212058   1.313940   1.045772  -99.0000  -99.0000  -99.0000 
DC21bbhd   150.856534522200   1.403790950498   308  1  0  1   0.7 150.856426   1.403939   0.026    10995472385711067  18.339  18.019  17.941   PSF   0.00   0.000000   0.000000   0.000000   1.168452   1.074173   1.195385  -99.0000  -99.0000  -99.0000 
DC21bbi    149.314568165424   1.159820436571   360  1  0  0   0.1 149.314579   1.159848   0.022    10995470869466527  17.923  17.373  17.189   PSF   0.00   0.000000   0.000000   0.000000   1.268128   1.036051   1.280357  -99.0000  -99.0000  -99.0000 
