"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"98461","SN 2022N","09:51:25.758","-00:02:38.27","SN Ia","","","","","","","","0.077","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS","ATLAS22afm","ATLAS-MLO - ATLAS-01, PS2 - GPC2","P60 - SEDM","1","1","","18.541","orange-ATLAS","2022-01-01 11:38:24.000","ATLAS_Bot1","","2022TNSTR...5....1T","2022TNSCR..62....1S",""
"98456","SN 2022I","10:15:53.970","-02:41:36.67","SN Ia","","","","","","","","0.053","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","YSE, ZTF","ATLAS; Pan-STARRS","ATLAS22afa","ATLAS-MLO - ATLAS-01, PS2 - GPC2","NOT - ALFOSC, P60 - SEDM","1","1","","18.698","orange-ATLAS","2022-01-01 11:52:48.000","ATLAS_Bot1","","2022TNSTR...5....1T","2022TNSCR..26....1A, 2022TNSCR..37....1S",""
"98455","SN 2022H","09:49:45.282","+06:17:47.72","SN Ia","","","","","","","","0.069","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS","ATLAS22aev","ATLAS-MLO - ATLAS-01, PS2 - GPC2","P60 - SEDM","1","1","","18.633","orange-ATLAS","2022-01-01 11:47:02.400","ATLAS_Bot1","","2022TNSTR...5....1T","2022TNSCR..37....1S",""
"98440","SN 2022B","10:14:38.513","-00:49:32.14","SN Ia","","","","","","","","0.049","","","ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","YSE, None","ATLAS; Pan-STARRS; ZTF","ATLAS22aab","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","BAO-2.16m - Phot-spec, NOT - ALFOSC","1","1","","17.629","orange-ATLAS","2022-01-01 11:51:21.600","ATLAS_Bot1","","2022TNSTR...1....1T","2022TNSCR..26....1A, 2022TNSCR..35....1X",""
"98409","SN 2021ahmz","10:34:50.686","+00:40:33.09","SN Ia","","","","","","","","0.032","CGCG 009-083","0.032035","ASAS-SN, ATLAS, Pan-STARRS","ASAS-SN, ATLAS, Pan-STARRS","None, ePESSTO+","ASAS-SN; ATLAS; Pan-STARRS","ASASSN-21wl","ASASSN-4 - Leavitt, ATLAS-MLO - ATLAS-01, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, Other - Other","1","1","","17.1","g-Sloan","2021-12-31 11:45:36.000","Stanek","","2021TNSTR4236....1S","2022TNSCR..10....1B, 2022TNSCR...9....1A",""
"97625","SN 2021agjf","09:46:06.828","+00:46:50.28","SN II","","","","","","","","0.02","","","Pan-STARRS, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","ePESSTO+","ATLAS; Pan-STARRS; ZTF","PS21nfn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","20.51","w-P1","2021-12-16 15:14:24.000","PS1_Bot1","","2021TNSTR4164....1C","2022TNSCR.329....1R",""
"95857","SN 2021adwh","10:00:58.411","+03:28:02.10","SN Ia","","","","","","","","0.15","SDSS J100059.08+032751.4","0.006579","ALeRCE, YSE, Pan-STARRS","ZTF, Pan-STARRS","UCSC","ALeRCE; Pan-STARRS; YSE","ZTF21acnfsun","P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","20.4385","g-ZTF","2021-11-03 12:29:46.000","ALeRCE","","2021TNSTR3793....1F","2021TNSCR3968....1D",""
"94116","SN 2021abjr","10:21:39.248","+06:24:08.71","SN Ia","","","","","","","","0.028842","WISEA J102139.24+062408.7","0.028842","ASAS-SN, ATLAS","ASAS-SN, ATLAS","SCAT","ASAS-SN; ATLAS","ASASSN-21tf","ASASSN-1 - Brutus, ASASSN-2 - Cassius, ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","16.8","g-Sloan","2021-10-13 14:52:48.000","Stanek","","2021TNSTR3498....1S","2021TNSCR3522....1H",""
"93356","SN 2021aagz","10:00:59.160","+07:08:17.84","SN Ia-SC","","","","","","","","0.06174","2MASX J10005922+0708151","0.061737","ALeRCE, ATLAS, GaiaAlerts, YSE","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS; YSE","ZTF21acfjxdx","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","17.7368","r-ZTF","2021-10-02 12:31:47.004","ALeRCE","","2021TNSTR3377....1F","2021TNSCR3584....1C",""
"85003","SN 2021oeg","10:08:44.785","+09:27:28.73","SN Ia-91T-like","","","","","","","","0.026237","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS21pxu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","17.964","orange-ATLAS","2021-06-02 05:57:07.200","ATLAS_Bot1","","2021TNSTR1865....1T","2021TNSCR1950....1P",""
